method,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
oracle_basin_composer,4,0.921875,0.032429,0.052791,0.864510,0.843936,0.067293,0.151205,0.093707,0.044582,0.108608,0.041205,0.039237,1.152035,0.014353,0.000725,0.000827,0.000676,0.000826,0.000721,0.000243,0.001151,0.000325,0.000541,0.001215,0.001108,0.014671,1344
oracle_basin_composer,5,0.910714,0.032511,0.052719,0.864023,0.844447,0.067204,0.150952,0.093888,0.044534,0.108497,0.041111,0.039479,1.140972,0.015251,0.000727,0.000826,0.000721,0.000787,0.000724,0.000242,0.001145,0.000323,0.000548,0.001218,0.001115,0.015449,1344
oracle_basin_composer,6,0.901786,0.032285,0.052693,0.863967,0.843788,0.067318,0.151065,0.094095,0.044639,0.108509,0.041012,0.039150,1.131758,0.015917,0.000716,0.000823,0.000715,0.000808,0.000728,0.000226,0.001141,0.000323,0.000546,0.001207,0.001099,0.016253,1344
oracle_basin_composer,7,0.892857,0.032457,0.052663,0.863849,0.843738,0.067180,0.151091,0.093778,0.044388,0.108372,0.041216,0.039315,1.123096,0.016542,0.000713,0.000811,0.000677,0.000814,0.000723,0.000234,0.001147,0.000323,0.000542,0.001198,0.001092,0.016811,1344
oracle_basin_composer,8,0.921131,0.032301,0.052826,0.863801,0.843635,0.067166,0.150891,0.093847,0.044562,0.108518,0.041268,0.039189,1.151244,0.014416,0.000719,0.000816,0.000706,0.000794,0.000731,0.000240,0.001150,0.000327,0.000546,0.001213,0.001109,0.014821,1344
oracle_basin_composer,9,0.916667,0.032169,0.052785,0.864336,0.844080,0.067444,0.151065,0.093895,0.044488,0.108756,0.041074,0.038888,1.146861,0.014782,0.000736,0.000828,0.000710,0.000797,0.000726,0.000243,0.001153,0.000331,0.000536,0.001232,0.001122,0.015025,1344
proposed_energy_landscape_composer_v4_1,0,0.717262,0.117906,0.125961,0.676996,0.662637,0.076433,0.235050,0.126406,0.061434,0.097796,0.185359,0.170691,0.653442,0.024085,0.000876,0.000969,0.000885,0.001047,0.000726,0.000305,0.001200,0.000331,0.000536,0.001457,0.001330,0.024466,1344
proposed_energy_landscape_composer_v4_1,1,0.724702,0.118120,0.126161,0.676256,0.662348,0.076567,0.234916,0.126528,0.061413,0.097492,0.185706,0.170615,0.660139,0.023889,0.000888,0.000970,0.000872,0.001025,0.000732,0.000299,0.001193,0.000327,0.000538,0.001475,0.001355,0.024170,1344
proposed_energy_landscape_composer_v4_1,2,0.723958,0.118037,0.126007,0.676094,0.663424,0.076435,0.235092,0.126578,0.061461,0.097842,0.185587,0.170589,0.659820,0.023909,0.000882,0.000978,0.000896,0.001055,0.000733,0.000297,0.001212,0.000328,0.000548,0.001475,0.001357,0.024339,1344
proposed_energy_landscape_composer_v4_1,3,0.709821,0.118106,0.125909,0.676664,0.662812,0.076260,0.235098,0.126407,0.061515,0.097877,0.185574,0.170910,0.645924,0.024273,0.000887,0.000979,0.000887,0.001023,0.000724,0.000304,0.001218,0.000321,0.000540,0.001469,0.001351,0.024624,1344
proposed_energy_landscape_composer_v4_1,4,0.728423,0.118030,0.125871,0.676822,0.662838,0.076350,0.234915,0.126452,0.061466,0.097742,0.185311,0.170665,0.664663,0.023788,0.000882,0.000982,0.000882,0.001045,0.000730,0.000308,0.001201,0.000326,0.000541,0.001468,0.001361,0.024172,1344
proposed_energy_landscape_composer_v4_1,5,0.704613,0.118106,0.125963,0.676713,0.662598,0.076349,0.235157,0.126461,0.061528,0.098018,0.185582,0.170768,0.640464,0.024400,0.000872,0.000984,0.000885,0.001040,0.000723,0.000298,0.001209,0.000323,0.000543,0.001469,0.001343,0.024749,1344
