ablation,interpretation,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
minus_high_energy_repair,does not repair high-energy seams,6,0.755208,0.082056,0.085256,0.751081,0.736631,0.071128,0.221856,0.111884,0.051535,0.110214,0.115502,0.108272,0.817159,0.043061,0.001855,0.001961,0.001826,0.001711,0.001585,0.000462,0.002610,0.000692,0.001205,0.003061,0.002789,0.044709,384
minus_high_energy_repair,does not repair high-energy seams,7,0.695312,0.082503,0.085669,0.750721,0.736310,0.071362,0.221995,0.111942,0.051329,0.110567,0.115907,0.108804,0.756088,0.046097,0.001809,0.001956,0.001749,0.001808,0.001584,0.000520,0.002532,0.000708,0.001182,0.003009,0.002768,0.046642,384
minus_high_energy_repair,does not repair high-energy seams,8,0.778646,0.082055,0.085500,0.750228,0.736267,0.071164,0.221441,0.112568,0.051861,0.110507,0.116079,0.108598,0.839561,0.041579,0.001835,0.001916,0.001767,0.001702,0.001637,0.000506,0.002573,0.000681,0.001211,0.003004,0.002779,0.042292,384
minus_high_energy_repair,does not repair high-energy seams,9,0.705729,0.081883,0.085061,0.750151,0.736448,0.071331,0.222183,0.112142,0.051648,0.110346,0.115754,0.108473,0.767164,0.045640,0.001824,0.001923,0.001736,0.001783,0.001599,0.000483,0.002556,0.000715,0.001180,0.002999,0.002761,0.046097,384
minus_terminal_sampler,removes terminal-state sampler,0,0.770833,0.069584,0.085271,0.718173,0.736763,0.071637,0.190849,0.117015,0.052141,0.105329,0.103481,0.096093,0.839317,0.042093,0.001826,0.001891,0.001564,0.001742,0.001610,0.000499,0.002509,0.000704,0.001213,0.003021,0.002735,0.043279,384
minus_terminal_sampler,removes terminal-state sampler,1,0.757812,0.069150,0.085609,0.716338,0.735831,0.071410,0.190869,0.117114,0.051822,0.105572,0.102815,0.095646,0.825877,0.042906,0.001851,0.001934,0.001598,0.001691,0.001599,0.000500,0.002517,0.000693,0.001228,0.003026,0.002800,0.043201,384
minus_terminal_sampler,removes terminal-state sampler,2,0.757812,0.069339,0.085238,0.717492,0.736510,0.071243,0.190945,0.117201,0.051748,0.105649,0.102878,0.095898,0.826686,0.042906,0.001854,0.001913,0.001647,0.001803,0.001580,0.000471,0.002562,0.000694,0.001183,0.003058,0.002766,0.043575,384
minus_terminal_sampler,removes terminal-state sampler,3,0.778646,0.068736,0.085238,0.718025,0.734640,0.071325,0.190960,0.117202,0.051684,0.105569,0.102207,0.094880,0.847636,0.041579,0.001821,0.001938,0.001650,0.001769,0.001593,0.000503,0.002558,0.000709,0.001207,0.003037,0.002785,0.041762,384
minus_terminal_sampler,removes terminal-state sampler,4,0.796875,0.069095,0.085024,0.716347,0.737097,0.071265,0.190996,0.117398,0.051398,0.105717,0.102555,0.095126,0.865993,0.040293,0.001883,0.001890,0.001540,0.001834,0.001603,0.000457,0.002515,0.000712,0.001182,0.003067,0.002796,0.041310,384
minus_terminal_sampler,removes terminal-state sampler,5,0.744792,0.069128,0.085429,0.716608,0.736729,0.071246,0.190810,0.117185,0.051553,0.105309,0.103014,0.095291,0.813688,0.043664,0.001849,0.001981,0.001621,0.001810,0.001591,0.000517,0.002523,0.000719,0.001197,0.003083,0.002789,0.043960,384
minus_terminal_sampler,removes terminal-state sampler,6,0.757812,0.068763,0.085650,0.717139,0.735176,0.071311,0.190874,0.117417,0.051717,0.105455,0.102950,0.095504,0.826262,0.042906,0.001839,0.001936,0.001623,0.001817,0.001581,0.000468,0.002524,0.000682,0.001206,0.003011,0.002803,0.043470,384
minus_terminal_sampler,removes terminal-state sampler,7,0.760417,0.069290,0.085552,0.717316,0.735903,0.071732,0.190978,0.117243,0.051794,0.105276,0.103122,0.095918,0.828377,0.042748,0.001810,0.001918,0.001658,0.001734,0.001605,0.000506,0.002522,0.000688,0.001183,0.002971,0.002746,0.043317,384
minus_terminal_sampler,removes terminal-state sampler,8,0.744792,0.069510,0.085456,0.718345,0.735871,0.071278,0.190328,0.117180,0.051701,0.105709,0.103374,0.095848,0.813565,0.043664,0.001835,0.001887,0.001643,0.001831,0.001602,0.000493,0.002545,0.000711,0.001200,0.002992,0.002757,0.044052,384
minus_terminal_sampler,removes terminal-state sampler,9,0.747396,0.068841,0.085482,0.718028,0.735638,0.071240,0.190824,0.117475,0.051916,0.105683,0.102797,0.095399,0.816223,0.043516,0.001853,0.001933,0.001649,0.001858,0.001601,0.000499,0.002543,0.000707,0.001142,0.003046,0.002778,0.044191,384
